PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_1,Cabin_2,Cabin_3,kfold
1685_02,Earth,False,55 Cancri e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,G,272,P,0
0020_03,Earth,True,55 Cancri e,29.0,False,0.0,0.0,,0.0,0.0,False,E,0,S,0
6058_01,Mars,False,55 Cancri e,18.0,False,2904.0,5.0,50.0,0.0,9.0,False,F,1253,P,0
1285_01,Earth,False,55 Cancri e,36.0,False,286.0,415.0,16.0,0.0,0.0,False,F,258,P,0
5717_01,Earth,False,TRAPPIST-1e,59.0,False,0.0,664.0,0.0,144.0,141.0,True,G,917,P,0
1114_02,Mars,False,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,False,E,79,S,0
8251_01,Earth,True,,35.0,False,0.0,0.0,0.0,0.0,0.0,True,G,1332,S,0
2404_03,Europa,False,55 Cancri e,36.0,False,828.0,5553.0,130.0,47.0,1171.0,True,C,86,S,0
0947_01,Earth,False,55 Cancri e,26.0,False,0.0,474.0,0.0,0.0,201.0,False,G,138,P,0
6997_02,Mars,False,TRAPPIST-1e,24.0,False,2261.0,0.0,95.0,10.0,0.0,False,F,1453,P,0
5626_01,Earth,True,PSO J318.5-22,23.0,False,0.0,0.0,0.0,0.0,0.0,True,G,911,S,0
4642_01,Europa,False,TRAPPIST-1e,41.0,False,0.0,412.0,0.0,4030.0,0.0,False,C,178,S,0
7851_01,Mars,True,TRAPPIST-1e,46.0,False,0.0,0.0,0.0,0.0,0.0,True,F,1629,P,0
1440_01,Earth,False,TRAPPIST-1e,27.0,False,0.0,1826.0,39.0,11.0,649.0,False,F,280,S,0
3195_01,Earth,False,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,G,505,S,0
3488_01,Europa,False,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,False,D,110,P,0
6967_01,Europa,False,55 Cancri e,37.0,False,0.0,9965.0,0.0,5697.0,676.0,False,C,256,S,0
6334_06,Earth,False,TRAPPIST-1e,55.0,False,0.0,242.0,0.0,479.0,3.0,False,F,1210,S,0
7505_03,Mars,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,True,F,1553,P,0
6775_01,Earth,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,G,1101,S,0
1922_01,Earth,True,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,False,G,303,S,0
3397_01,Earth,False,TRAPPIST-1e,22.0,False,0.0,269.0,0.0,100.0,28.0,False,G,543,S,0
4109_01,Earth,False,TRAPPIST-1e,19.0,False,169.0,399.0,,97.0,0.0,True,F,843,P,0
5662_02,Earth,False,TRAPPIST-1e,31.0,False,13.0,0.0,0.0,679.0,0.0,False,F,1080,S,0
